ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00017821,PR-00010767,"Wilingali Nature Kindy","MANLY VALE KINDY CO PTY LTD","Centre-Based Care","28 Sloane Crescent","MANLY VALE",NSW,2093,0411401788,,,90,24/10/2025,,,,,,,,,,,,,,,,,,,,"June 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017822,PR-40035608,"Kindra Early Learning Honeywood","Kindra Early Learning Pty Ltd","Centre-Based Care","1 WINDJANA RISE",WANDI,WA,6167,0402666113,,,99,28/10/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,Yes,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017823,PR-00003567,"Community Junction OOSH Services St Marys","Community Junction Incorporated","Centre-Based Care","ST MARYS PUBLIC SCHOOL, 2-6 PRINCESS MARY ST","ST MARYS",NSW,2760,0296733908,0433398661,,35,10/10/2025,,,,,,,,,,,,,,,,,,,,"February 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00017824,PR-40036925,"Aspire Early Education & Kindergarten Everly, Sunbury","ASPIRE EARLY EDUCATION & KINDERGARTEN EVERLY, SUNBURY PTY LTD","Centre-Based Care","2 MITOS ST",SUNBURY,VIC,3429,0387470502,,,142,20/10/2025,,,,,,,,,,,,,,,,,,,,"March 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017836,PR-00010039,"Oak Park Early Learning","Manoak PTY LTD ATF Manoak Family Trust","Centre-Based Care","718 PASCOE VALE RD","OAK PARK",VIC,3046,0370531111,,"The Approved Provider is required to ensure objects are not placed or are able to be placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685) with particular consideration given to falling space, impact areas and free space. The approved provider must ensure that at all times children are being educated and cared for, that one additional educator above the minimum prescribed in regulation 123(1) of the Education and Care Services National Regulations 2011 is required to be educating and caring for children to ensure adequate supervision of children accessing the outdoor area.",79,29/09/2025,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017837,PR-00003288,"Como Before and After School Care","Childcare Australia United Ltd","Centre-Based Care","COMO PUBLIC SCHOOL, 1 GENOA ST",COMO,NSW,2226,0295288797,,"The approved provider must not commence operating the service until 14 October 2025, which is the date from which the approved provider has the right to occupy the premises as indicated in the agreement between the approved provider and Como Public School.",53,01/10/2025,,,,,,,,,,,,,,,,,,,,"February 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:10,07:00,09:10,07:00,09:10,07:00,09:10,07:00,09:10,,,,,15:25,18:00,15:25,18:00,15:25,18:00,15:25,18:00,15:25,18:00,,,,,,,,,,,,,,,,,,,No
SE-00017838,PR-00006090,"Emali Early Learning Centre - North Plympton","EMALI CHILDCARE PTY LTD","Centre-Based Care","354 MARION RD","NORTH PLYMPTON",SA,5037,0882585880,,"An additional staff member above minimum ratios is to supervise any children accessing the sensory room for sessions with external health professionals.",100,15/05/2026,,,,,,,,,,,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017839,PR-40006598,"Little Zaks Academy Elizabeth Downs","LZ PTY LTD","Centre-Based Care","26 HAMBLYNN RD","ELIZABETH DOWNS",SA,5113,0280368390,,,95,09/10/2025,,,,,,,,,,,,,,,,,,,,"June 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017841,PR-40023244,"Quest Early Learning","Quest Early Learning PTY LTD","Centre-Based Care","26A HARRIS ST",BICTON,WA,6157,0861509771,,"1.	The approved provider is to ensure that at all times enrolled children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member.",74,14/10/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,Yes,Yes,Yes,No,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-00017846,PR-00011020,"My Reggio Kindy Pyrmont","BLACKWALL CHILDCARE PYRMONT PTY LTD","Centre-Based Care","Tenancy 3 Level 1 55 Pyrmont Bridge Road",Pyrmont,NSW,2009,0430177850,,,73,20/01/2026,,,,,,,,,,,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017847,PR-40032055,"Bexley Montessori Academy","MAG NSW CHILDCARES PTY LTD","Centre-Based Care","11 HIGHWORTH AV",BEXLEY,NSW,2207,0289167583,,,76,09/12/2025,,,,,,,,,,,,,,,,,,,,"July 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017848,PR-00011021,"Sassafras Primary School OSHC","SASSAFRAS PRIMARY SCHOOL COUNCIL","Centre-Based Care","Sassafras Primary School, 399 Mount Dandenong Tourist Road",Sassafras,VIC,3787,0397551203,,"An approved provider of an education and care service that is listed on the Department of Education Bushfire At-Risk Register must ensure that:
a.		The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
b.		The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
c.		The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
i.		a list of the service's emergency contact details
ii.		procedures for monitoring and managing bushfire and grassfire risks and events
iii.		procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
iv.		procedures for notifying families of children enrolled at the service of any closure
v.		procedures for reviewing and updating the Emergency Management Plan.
d.	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",15,15/01/2026,,,,,,,,,,,,,,,,,,,,"August 2026",No,No,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,,,,,,,,,,,,,,,No
SE-00017849,PR-40037113,"Joy Villa Early Learning Centre","ENLIGHTEN ACADEMY GROUP PTY LTD","Centre-Based Care","42-44 PRINCE CHARLES ST",CLAYTON,VIC,3168,,,,68,22/11/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017850,PR-40027766,"Bright Steps Academy Calala","BRIGHT STEPS PTY LTD","Centre-Based Care","72-74 CALALA LANE",CALALA,NSW,2340,0257632593,,,120,19/11/2025,,,,,,,,,,,,,,,,,,,,"April 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017851,PR-40009049,"Eden Academy Clyde","Eden Academy Childcare Pty Ltd","Centre-Based Care","3 MERRIBROOK BVD",CLYDE,VIC,3978,0370461044,,,132,12/08/2025,,,,,,,,,,,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017853,PR-00010655,"Infinite Early Learning Morisset","INFINITE EARLY LEARNING PTY LTD","Centre-Based Care","8 DOYALSON ST",MORISSET,NSW,2264,0249737000,,,140,11/12/2025,,,,,,,,,,,,,,,,,,,,"April 2026",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017854,PR-40001129,"Peak Sports and Learning Bomaderry","Peak Sports and Learning Pty Ltd","Centre-Based Care","Bomaderry Public School, 35-43 Cambewarra Road",BOMADERRY,NSW,2541,1300467325,,"The approved provider must not commence operating the service until 14 October 2025, which is the date from which the approved provider has the right to occupy the premises as indicated in the agreement between the approved provider and Bomaderry Public School.",80,02/10/2025,,,,,,,,,,,,,,,,,,,,"January 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017855,PR-00002539,"Camp Australia - Lake Windemere Primary School OSHC","Camp Australia Pty Limited","Centre-Based Care","17 URAIDLA AV","SALISBURY NORTH",SA,5108,1300105343,,,60,16/07/2025,,,,,,,,,,,,,,,,,,,,"November 2025",No,No,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,06:30,08:40,06:30,08:40,06:30,08:40,06:30,08:40,06:30,08:40,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No
SE-00017856,PR-40011040,"St Joseph's Uniting Outside School Hours Care - Chiltern","UNITING (VICTORIA AND TASMANIA) LIMITED","Centre-Based Care","142 NORTH RD",CHILTERN,VIC,3683,0429007094,,"An approved provider of an education and care service that is listed on the Department of Education Bushfire At-Risk Register must ensure that:  
a. The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.  
b. The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.  
c. The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:  
i. a list of the service's emergency contact details  
ii. procedures for monitoring and managing bushfire and grassfire risks and events  
iii. procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service  
iv. procedures for notifying families of children enrolled at the service of any closure  
v. procedures for reviewing and updating the Emergency Management Plan.  
d. A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",15,08/10/2025,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:30,18:00,15:30,18:00,15:30,18:00,,,,,,,,,08:00,17:00,08:00,17:00,,,,,,,,,No
SE-00017857,PR-40027766,"Bright Steps Academy Elizabeth East","BRIGHT STEPS PTY LTD","Centre-Based Care","92 HORNET CR","ELIZABETH EAST",SA,5112,1300402522,,,112,31/03/2026,,,,,,,,,,,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017858,PR-40026953,"WHIZ KIDZ EARLY LEARNING CENTRE SYDENHAM","Whiz Kidz Early Learning Centre St Albans Pty Ltd","Centre-Based Care","544 MELTON HWY",SYDENHAM,VIC,3037,0373008899,,,80,18/09/2025,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017859,PR-40024722,"Shepherd ELC",,"Centre-Based Care","139 Burnett Street",PARRAMATTA,NSW,2150,0296351444,,,45,11/09/2025,,,,,,,,,,,,,,,,,,,,"August 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017860,PR-00010060,"Bright Start Childcare & Early Learning Centre Warrnambool","BRIGHT START CHILDCARE & EARLY LEARNING CENTRES PTY LTD","Centre-Based Care","15 DALES RD",WARRNAMBOOL,VIC,3280,0388444888,,,148,12/10/2025,,,,,,,,,,,,,,,,,,,,"March 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017862,PR-00011049,"Kool Beanz Goldsmith Street","KOOL BEANZ MACKAY GOLDSMITH PTY LTD ATF Kool Beanz Mackay Goldsmith Trust","Centre-Based Care","37 Goldsmith Street","EAST MACKAY",QLD,4740,0749534190,,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children. The approved provider must ensure that the mirrors installed at the service are constantly maintained and operational to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. To comply with regulation 84A of the Education and Care Services National Regulations, the approved provider must ensure:
(a)	all children under the age of 12 months are provided with a cot; and
(b)	all children older than 12 months who developmentally need a cot are provided with one; and
(c)	in Activity Room 1 there are no more than 6 children who are in groups (a) and (b) above; and
(d)	in Activity Room 2 there are no children who are in groups (a) and (b) above; and
(e)	in Sleep Room 1 there are no more than 4 children who are in groups (a) and (b) above; and
(f)	in Sleep Room 2 there are no more than 2 children who are in groups (a) and (b) above. To comply with regulation 115 of the Education and Care Services National Regulations, the approved provider must ensure that cots are positioned according to the diagrams, labelled sleep room layout, adjacent to each sleep room door; and the location of each cot is marked on the sleep room floor. To comply with regulation 115 of the Education and Care Services National Regulations, the approved provider must ensure that the lights within the sleep rooms are turned on, when any children are in the sleep rooms, to ensure there is sufficient lighting to allow for supervision. The approved provider must ensure that education and care of children under two (2) years of age is only provided on the ground floor. The approved provider must ensure that the additional shade sail is installed on the ground floor at the education and care premises, to the satisfaction of the Regulatory Authority, no later than 16 March 2026.",102,18/02/2026,,,,,,,,,,,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017864,PR-40022356,"SCECS OSHC Our Lady of the Rosary Kensington","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","Our Lady of the Rosary Catholic Primary School, 1B KENSINGTON RD",KENSINGTON,NSW,2033,0295688628,,,75,10/10/2025,,,,,,,,,,,,,,,,,,,,"May 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No
SE-00017868,PR-40001917,"Child's Play Mambourin","SAMIAN PTY LTD","Centre-Based Care","121 CALLAWAY ST",MAMBOURIN,VIC,3024,0419793468,,,134,05/11/2025,,,,,,,,,,,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017869,PR-00010227,"Arthur Street Early Learning","The Trustee for Sorell Child Care Trust","Centre-Based Care","18 ARTHUR ST",SORELL,TAS,7172,0417113333,,,60,21/10/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017870,PR-40028718,"Journey Early Learning Centre - St Albans","Journey ELC Pty Ltd","Centre-Based Care","43 ST ALBANS RD","ST ALBANS",VIC,3021,0387466958,,,130,29/09/2025,,,,,,,,,,,,,,,,,,,,"February 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017871,PR-40033597,"Exmouth Early Learning Centre","GD & KJ ENTERPRISES PTY LTD ATF Showie Family Trust","Centre-Based Care","24 MAIDSTONE CR",EXMOUTH,WA,6707,0400985817,,,79,13/11/2025,,,,,,,,,,,,,,,,,,,,"February 2026",Yes,No,Yes,Yes,Yes,Yes,No,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,No
SE-00017873,PR-00006567,"Pacific Hills Early Learning Centre","PACIFIC GROUP OF CHRISTIAN SCHOOLS LIMITED","Centre-Based Care","22 QUARRY RD",DURAL,NSW,2158,0284289002,,,136,14/10/2025,,,,,,,,,,,,,,,,,,,,"February 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017875,PR-00010472,"Treehouse Early Learning Centre Camira","NATIZ PTY LTD ATF NATIZ TRUST","Centre-Based Care","1 WOODLANDS AV",CAMIRA,QLD,4300,0450606117,,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children The approved provider must ensure that the mirrors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children, as required under regulation 115 of the Education and Care Services National Regulations",71,03/10/2025,,,,,,,,,,,,,,,,,,,,"August 2026",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017876,PR-40007129,"Kallara Early Education","SERA DIRECT PTY. LTD.","Centre-Based Care","9 MANNING RIVER DR",TAREE,NSW,2430,0477720152,,,92,12/03/2026,,,,,,,,,,,,,,,,,,,,"July 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017877,PR-00010759,"St Marys Montessori Academy","ST MARYS CHILDCARE PTY LTD","Centre-Based Care","42 MORRIS ST","ST MARYS",NSW,2760,0289167579,,,108,27/10/2025,,,,,,,,,,,,,,,,,,,,"July 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017880,PR-40037761,"Epping Early Learning Centre","WMK ONE PTY LIMITED","Centre-Based Care","55 BORONIA AV",EPPING,NSW,2121,,,,34,06/03/2026,,,,,,,,,,,,,,,,,,,,"June 2026",Yes,No,No,No,No,No,No,10:00,16:00,09:30,17:30,10:00,16:00,09:30,17:30,10:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017882,PR-00010732,"ASPIRE EARLY EDUCATION & KINDERGARTEN WEIR VIEWS","ASPIRE EARLY EDUCATION & KINDERGARTEN WEIR VIEWS PTY LTD","Centre-Based Care","127 REES RD","WEIR VIEWS",VIC,3338,1800978429,,"An approved provider of an education and care service that is listed on the Department of Education Category 4 List – at some risk of bushfire or grassfire must ensure that:  
a. The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.  
b. The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
c. The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:  
i. a list of the service's emergency contact details  
ii. procedures for monitoring and managing bushfire and grassfire risks and events  
iii. procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service  
iv. procedures for notifying families of children enrolled at the service of any closure  
v. procedures for reviewing and updating the Emergency Management Plan.  
d. A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",116,12/01/2026,,,,,,,,,,,,,,,,,,,,"October 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017883,PR-00010728,"ASPIRE EARLY EDUCATION & KINDERGARTEN UNITY PARK, TARNEIT","ASPIRE EARLY EDUCATION & KINDERGARTEN UNITY PARK, TARNEIT PTY LTD","Centre-Based Care","1 TABULA RD",TARNEIT,VIC,3029,1800978429,,,108,13/01/2026,,,,,,,,,,,,,,,,,,,,"June 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017884,PR-40004402,"Ellenbrook OSHClub","OSHCLUB PTY LTD","Centre-Based Care","65 FORTESCUE PL",ELLENBROOK,WA,6069,0427730145,,"The approved provider is to ensure that at all times enrolled children preschool age or under require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member, including while in the bathroom. The approved provider is to ensure that at all times enrolled children over preschool age require access to and from the toilet facilities, they are accompanied and supervised by a contact staff member. The approved provider must ensure that at all times when moving between approved spaces the enrolled children are accompanied by a contact staff member.",50,06/10/2025,,,,,,,,,,,,,,,,,,,,"July 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00017885,PR-00010531,"Flourish Early Learning Centre Bull Creek","NCG Venture Group Pty Ltd ATF NJG Childcare Trust","Centre-Based Care","2 BASS RD","BULL CREEK",WA,6149,,,"The approved provider must ensure that at any time children are in an outdoor play area, they are accompanied and directly supervised by at least 1 educator, who is positioned to observe all aspects of that outdoor play area.",66,07/11/2025,,,,,,,,,,,,,,,,,,,,"February 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017886,PR-40001129,"Peak Sports and Learning Berkeley","Peak Sports and Learning Pty Ltd","Centre-Based Care","Berkeley Public School, 315 Flagstaff Road",BERKELEY,NSW,2506,1300467325,,,60,09/10/2025,,,,,,,,,,,,,,,,,,,,"March 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
